op_id	desc	proc	level
263	update_ranks [primary] <263>	CPU Processor 0x1d00000000000006	2
264	update_ranks [primary] <264>	CPU Processor 0x1d00000000000003	2
265	update_ranks [primary] <265>	CPU Processor 0x1d00000000000004	2
266	final_ranks <266>		
267	final_ranks <267>		
268	final_ranks <268>		
269	final_ranks <269>		
270	final_ranks <270>		
271	final_ranks <271>		
272	final_ranks <272>		
273	final_ranks <273>		
274	final_ranks [primary] <274>	CPU Processor 0x1d00000000000002	2
275	final_ranks [primary] <275>	CPU Processor 0x1d00000000000004	2
276	final_ranks [primary] <276>	CPU Processor 0x1d00000000000001	3
277	final_ranks [primary] <277>	CPU Processor 0x1d00000000000006	2
278	final_ranks [primary] <278>	CPU Processor 0x1d00000000000005	2
279	final_ranks [primary] <279>	CPU Processor 0x1d00000000000003	2
280	final_ranks [primary] <280>	CPU Processor 0x1d00000000000008	2
281	final_ranks [primary] <281>	CPU Processor 0x1d00000000000007	2
282	Fill Operation <282>		
283	Fill Operation <283>		
284	Copy Operation <284>		
285	__unary_bool_not [primary] <285>	CPU Processor 0x1d00000000000002	2
286	Merge Close Operation <286>		
287	Merge Close Operation <287>		
288	__binary_int32_int32_+ [primary] <288>	CPU Processor 0x1d00000000000002	2
289	update_ranks <289>		
290	final_ranks <290>		
291	__binary_int32_uint32_>= [primary] <291>	CPU Processor 0x1d00000000000001	3
292	Merge Close Operation <292>		
293	update_ranks <293>		
294	update_ranks <294>		
295	update_ranks <295>		
296	update_ranks <296>		
297	update_ranks <297>		
298	update_ranks <298>		
299	update_ranks <299>		
300	update_ranks <300>		
301	update_ranks [primary] <301>	CPU Processor 0x1d00000000000007	2
302	l2_norm [primary] <302>	CPU Processor 0x1d00000000000007	2
303	__binary_double_double_< [primary] <303>	CPU Processor 0x1d00000000000002	2
304	Merge Close Operation <304>		
305	update_ranks [primary] <305>	CPU Processor 0x1d00000000000008	2
306	update_ranks [primary] <306>	CPU Processor 0x1d00000000000005	2
307	update_ranks [primary] <307>	CPU Processor 0x1d00000000000006	2
308	update_ranks [primary] <308>	CPU Processor 0x1d00000000000004	2
309	update_ranks [primary] <309>	CPU Processor 0x1d00000000000003	2
310	update_ranks [primary] <310>	CPU Processor 0x1d00000000000002	2
311	update_ranks [primary] <311>	CPU Processor 0x1d00000000000001	3
312	final_ranks <312>		
313	final_ranks <313>		
314	final_ranks <314>		
315	final_ranks <315>		
316	final_ranks <316>		
317	final_ranks <317>		
318	final_ranks <318>		
319	final_ranks <319>		
320	final_ranks [primary] <320>	CPU Processor 0x1d00000000000003	2
321	final_ranks [primary] <321>	CPU Processor 0x1d00000000000002	2
322	final_ranks [primary] <322>	CPU Processor 0x1d00000000000004	2
323	final_ranks [primary] <323>	CPU Processor 0x1d00000000000001	3
324	final_ranks [primary] <324>	CPU Processor 0x1d00000000000007	2
325	final_ranks [primary] <325>	CPU Processor 0x1d00000000000008	2
326	final_ranks [primary] <326>	CPU Processor 0x1d00000000000006	2
327	final_ranks [primary] <327>	CPU Processor 0x1d00000000000005	2
328	Fill Operation <328>		
329	Fill Operation <329>		
330	Copy Operation <330>		
331	__unary_bool_not [primary] <331>	CPU Processor 0x1d00000000000001	3
332	Merge Close Operation <332>		
333	Merge Close Operation <333>		
334	Fence Operation <334>		
335	Deletion Operation <335>		
336	Deletion Operation <336>		
337	Deletion Operation <337>		
338	Deletion Operation <338>		
